,count,hate_speech,offensive_language,neither,class,tweet
89,3,3,0,0,0,"""alsarabsss"" hes a beaner smh you can tell hes a mexican"
110,3,3,0,0,0,"""you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn"
184,3,3,0,0,0,"""LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers"
459,3,3,0,0,0,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays"
540,3,3,0,0,0,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488"
582,3,3,0,0,0,"""We hate niggers, we hate faggots and we hate spics""-kkk rally"
588,3,3,0,0,0,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an"
683,3,3,0,0,0,#California is full of white trash
700,3,3,0,0,0,#Dutch people who live outside of #NewYorkCity are all white trash.
738,3,3,0,0,0,#Minnesota is full of white trash
777,3,3,0,0,0,#SouthCarolina is full of white trash
796,3,3,0,0,0,"#VinitaHegwood can get a job at the naacp. Or as The AG. I hear they like ""diversity and tolerance"". As long as you ain't a cracker #tcot"
833,3,3,0,0,0,#firefighter is a job for white trash
1412,3,3,0,0,0,"When you live this gay, you can't be afraid of two black dicks in your butt"" you fucking queer"
1444,3,3,0,0,0,"White kids favorite activities
1. Calling people ""niggers"" on Xbox
2.fucking their pet
3. Shooting up their school"
1789,3,3,0,0,0,"No need to thank me, killing niggers is it's own reward. 

Dis my pal from our graduation when we was 26"
1885,3,3,0,0,0,"""If fleek in yo vocabulary you a faggot"""
1949,3,3,0,0,0,Why yall think its ok to be faggots? and want us to be cool with them
2174,3,3,0,0,0,...aaaaaaaaand it begins. RT Fucking niggers that's all Kentucky is and ever will be
2178,3,3,0,0,0,"...you're white, aren't you? *rolls eyes* RT RIP to my NIGGA Trayvon, a worthless spear chucker"
2254,3,3,0,0,0,"4 old hoes, a ponk, and a dyke outchea having ""girl talk"""
2275,3,3,0,0,0,"8/16/14 MO let kill some crackers, kill their babies"" New Black Panthers hijack his #Ferguson presser http://t.co/z2Wko9Ripz"
2324,3,3,0,0,0,good enough fag
2431,3,3,0,0,0,I hate that nigger.
2432,3,3,0,0,0,"Those niggers disgust me. They should have dealt with 100 years ago, we wouldn't be having these problems now."
2444,3,3,0,0,0,homo ass crackers
2456,3,3,0,0,0,they are wrong you are a nigger always causung mischief among ur own people
2459,3,3,0,0,0,"
You be totally correct Anthony. Cant be livin round dem colored folk. Day be bringin down da hood and dem propery value"
2465,3,3,0,0,0,"The ""Youre going 2have 2 KILL crackers  their babies New Black Panthers #CredibilityShot #FergusonRiot #Justice4MikeBrown"
2602,3,3,0,0,0,your what's wrong with the white race you fuckin coon slaying piece of poop please die alone
2668,3,3,0,0,0,3/4 of a citizen. I said it for you maria you spic
2679,3,3,0,0,0,they said some bullshit. Damn niggers
2702,3,3,0,0,0,sand nigger ran over some Kidd
2703,3,3,0,0,0,I don't like the sand nigger but it's entertaining like 6 knockdowns
2724,3,3,0,0,0,"hey Sir house nigger, uncle tom aren't you from grand ole Mississippi, I rest my case!"
2759,3,3,0,0,0,is a fag #hesgay
2816,3,3,0,0,0,fuck outta here and go put some more trash ass ink on your faggot ass self pussy
2817,3,3,0,0,0,stay talking defending your fuckboy ass boyfriend or what? go suck him off while youre at it faggot
2834,3,3,0,0,0,"faaaaggggottttt, speaking with the blonde hair and confused, you're a hypocrite, cuz you're a faggot"
2853,3,3,0,0,0,you don't know what your talking about retarded faggot
2946,3,3,0,0,0,"the nig is fun to watch got to admit, ebola boy can speak broken Spanish too lol"
3006,3,3,0,0,0,"Whatever! Fuck all those assholes. They're niggers, they all look alike to me."
3113,3,3,0,0,0,movies don't matter as long as you do coon shit with coons you're a nigga!
3191,3,3,0,0,0,fugly queer white trash
3198,3,3,0,0,0,ratchet looking nigger
3199,3,3,0,0,0,you understand you look like a real life dyke right? Like you look like a WNBA dyke bro. A sports bra  bball shorts wearing dyke
3292,3,3,0,0,0,Julie tell them crybaby blacks to get someone blk. and dress them up white faced......niggers always whining!
3356,3,3,0,0,0,I'm jus tryna vaca away from the niggers bro.
3401,3,3,0,0,0,shut up lizard faggot nigger cunt
3404,6,6,0,0,0,ya I know all the slang I'm racist I h8 porch monkies
3407,3,3,0,0,0,if the faggots can have a page y cant they?faggots offend me more than them
3428,3,3,0,0,0,happy cuz I woke up white and not a nigger!
3448,3,3,0,0,0,Can you speak one coherent sentence without sounding like a nig? Seriously.
3496,3,3,0,0,0,you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.
3559,3,3,0,0,0,"I'm partial, faggot..homo...both fairly describes the same sick twisted Assholes out there."
3593,3,3,0,0,0,you don't know shit about me faggot bitch
3596,3,3,0,0,0,fag
3673,3,3,0,0,0,sit down and stfu raghead @hajihuntingpat
3677,3,3,0,0,0,sweet comeback u fuckin herb I dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from NYC fag
3751,3,3,0,0,0,is an evil hate whitey racist who thinks Delbert Belton deserved it. @StephAnnAnson
3902,3,3,0,0,0,now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.
3911,3,3,0,0,0,I don't bend that way queer. Thanks for the offer it's flattering.
3912,3,3,0,0,0,go back to nigeria faggot
4015,3,3,0,0,0,T.o. was a faggot crybaby
4036,3,3,0,0,0,Anything to trash this black President!!
4046,3,3,0,0,0,- you know what you did you faggot. There are literally thousands of people that have you on their radar homo
4059,3,3,0,0,0,your a cunt
4076,3,3,0,0,0,Shit your ass and shabbat your moms pussy u Jew bastard. Ur times coming. Heil Hitler!
4179,3,3,0,0,0,y'all is coons n uncle toms
4248,3,3,0,0,0,Jews and white race traitors have to be swept clean so the Aryan race can survive.
4331,3,3,0,0,0,dont tell me what to do. fuck balls kike nigger cunt tits cocksucker chink spic piss bitch bastard pussy faggot.
4332,3,3,0,0,0,kill yourself ugly ass monkey looking shit
4389,3,3,0,0,0,"Fuckin muzzie cunts, should all be deported, savages"
4441,3,3,0,0,0,"fuck your mother, faggot"
4442,3,3,0,0,0,I don't hate that he blew up from 3005 like a hipster but I hate the faggots who say they love his music based off his worst +
4462,3,3,0,0,0,hes a lying faggot. he used inspect element to change the number of dollars in his account.
4478,3,3,0,0,0,Dumb Haitian fake black faggots. Go to Haiti and neck yourself.
4548,3,3,0,0,0,"so your a ""nigger"" fighter huh"
4607,3,3,0,0,0,you're such a faggot
4638,3,3,0,0,0,whats your youtube channel then faggot
4657,3,3,0,0,0,"oh woulda coulda shoulda ass niggas bitch ass nigga, what u bout oh ban wagging ass nigga catch your phase"
