,count,hate_speech,offensive_language,neither,class,tweet
85,3,2,1,0,0,"""queer"" gaywad"
202,3,2,1,0,0,"""""At least I'm not a nigger"" "
204,3,2,1,0,0,"""Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
219,6,3,2,1,0,"""Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes  ....dudes a fag"
260,3,2,1,0,0,"""#GerrysHalloweenParty  Halloween was yesterday stupid nigger"
312,3,2,1,0,0,"""is bored supposed to be cute, you faggot?"" Sometimes"
315,3,2,1,0,0,"""lassen cc , the coach wants me"" i feel it youll get more my nig no doubt"
349,3,2,1,0,0,"""Jackies a retard #blondeproblems"" At least I can make a grilled cheese!"
352,3,2,1,0,0,"""Stacey Dash won   baddest bitch evaaaa"
437,3,2,1,0,0,"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch."""
519,3,2,1,0,0,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW."
526,3,2,1,0,0,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" "
531,3,2,1,0,0,"""Nah its You  yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" "
565,3,2,1,0,0,"""These sour apple bitter bitches, I'm not fuckin wit em"""
583,3,2,1,0,0,"""We're out here, and we're queer!""
"" 2, 4, 6, hut! We like it in our butt!"""
587,3,2,1,0,0,"""Who the fuck you callin jiggaboo, nigga?!"""
603,3,2,1,0,0,"""You ain't gunna do shit spear chucker"""
614,3,2,1,0,0,"""You ol trout mouth ass bitch"" 
DEEEEAAAADD"
625,3,2,1,0,0,"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes"""
635,3,2,1,0,0,"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I think we'd be good friends."
646,3,2,1,0,0,"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race"
647,3,2,1,0,0,"""poor whitey"" "
663,3,2,0,1,0,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding"
684,3,2,1,0,0,#California is full of white trash who moved from #Oklahoma
690,3,2,0,1,0,#DTLA is trash because of non-Europeans are allowed to live there.
699,3,2,0,1,0,#Dutch farmers are white trash.
731,3,2,1,0,0,#Iowa is full of white trash
733,3,2,1,0,0,#JesusChrist was STRAIGHT That's why the #faggots killed him. #PERIOD #SonOfGod
759,3,2,1,0,0,#ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies
762,3,2,1,0,0,"#RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones""..... or something...... #faggot #rome"
775,3,2,1,0,0,"#SlightlyAdjusted RT Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day"
776,3,2,1,0,0,#SomethingIGetAlot Are you... asian? black? Hawaiian? gay? retarded? drunk?
788,3,2,1,0,0,#ThingsIWillTeachMyChild how to play deez niggas n bitches dat be snakes
792,3,2,1,0,0,"#TrayvonMartin referred to Zimmerman as a ""creepy ass cracker"". Racist thug."
793,3,2,1,0,0,"#TweetLikePontiacHolmes
I do the Pontiac sprinkler...

Nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga"
797,3,2,1,0,0,#Virginia is full of white trash.
799,3,2,1,0,0,#WestVirginia is full of white trash.
832,3,2,0,1,0,"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG Do not celebrate as ""unique indiviuals"" for they are #cancer"
846,3,2,0,1,0,#milesthompson #goauche #wetback #ca 
966,3,2,1,0,0, Racist all month .. Fuck u honkey
969,3,2,1,0,0, RT LMFAO RT If you watching porn  beating off  yo homie text u  it show his name in the banner you're a faggot
976,3,2,1,0,0, fucc nicca yu pose to be pullin up
988,3,2,1,0,0," i just said that RT My TL gotta chill with this pretty face challenge foolishness, y'all hoes agg"
1006,3,2,1,0,0,RT Them 1st 48 Charlotte goon niccas gon Fkkk around and burn Bank Of America stadium down
1051,3,2,1,0,0, RT They recruited buku fags in here!...a warehouse is no place for them!
1068,3,2,0,1,0,"lbum de fotos: gaywrites: In the Making, a project by and for queer students at Harvard, highlights the... "
1097,4,3,1,0,0,This is awkward u fag  wonder who's awesome tank that is 
1142,3,2,1,0,0,"If u ask me, every bitch gayor ""bi"""
1203,3,2,1,0,0,"We agree... do you?  FUCK YES, I DO! Send those illegal, wetbacks home!!!"
1224,3,2,1,0,0,HELL YA THEY SHOULD MAKE MORE MALT LIQUOR ADS LIKE THIS.  Dis be heaven fo a colored man
1253,3,2,1,0,0,Tea bag a bitch. Pahahaha
1260,3,2,1,0,0,"""fucking white people""  bitch wut?"
1280,3,2,1,0,0,"you like 5'8, you needs to....1. You a hoe. 2. i'm 5'10(breaking11) 3.suck my dick."
1394,3,2,1,0,0,Dudes shaving without it being for an athletic purpose is gay af you're retarded.
1418,3,2,1,0,0,"I love the song ""John Doe"" #dope faggots"
1420,3,2,1,0,0,Just got done with my last final and I'm walkin around campus like I own this place queer.
1431,3,2,1,0,0,You dammn Weed potheads are annoying af on Twitter weed and pot are the same thing faggot
1437,3,2,1,0,0,Who is she? RT Y'all hype that bread loaf chick up but I'm a chill a dyke rapper
1438,3,2,1,0,0,Cowboys win games during the regular season but when they get to the playoffs that trash af lol hating ass nigga
1522,3,2,1,0,0,"shut the fuck up, you fucking trash nigga, work on another ring "
1542,3,2,1,0,0,"damn they got wifey 

Fall back nigga .. I don't share my hoes"
1633,3,2,1,0,0,Shoot that nigga and his shorty bitch  
1680,3,2,1,0,0,My phone charging backwards  retarded
1694,3,2,1,0,0,You aint special niglet RT When I'm chilling wit Greg ppl walk up to me to ask me to take picshatin
1708,3,2,1,0,0,RT Lemme find out you niggaz letting bitches shit on yo faces  niggas is weirdos
1747,3,2,1,0,0,"u a regular nig, u played out b lol ima b Ig famousthese days that counts for somethin"
1814,3,2,1,0,0,I hate that bitch  the fact that oomf likes her.. just no  retweeettt 1000x.
1825,3,2,1,0,0, bitch ass nigga fuck you !   these hoes ain't got no manners #RealTalk
1853,3,2,1,0,0,That one friend who you greet with an insult. niggers
1909,3,2,1,0,0,#faggot #Respect
1925,3,2,1,0,0,"o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao you can dm me"
1937,3,2,1,0,0,i want affection 24/7 but i also want to be left alone 24/7... do you see the issue here?fag
2006,3,2,1,0,0,when they say him they mean dyke Ron #wcw 
2027,3,2,1,0,0,' Don't sleep on ma niggah CHood  
2036,3,2,1,0,0,' Happppppy Birthdayyyy  lol . Niggahs is really 21 in this bitch  . 
2065,3,2,1,0,0,"' If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this niggah look like a... "
2112,3,2,1,0,0,' This niggah pharrell or whatever this niggah name is don't deserve shit for that white ass gay song .
2128,3,2,1,0,0,"'Damn you, whitey!' You'll get a kick out of the 'newest form of white privilege' "
2149,3,2,1,0,0,"*goes to olive garden*
*Turns into a cracker*
""*goes black friday shopping*

*turns into a nigger*"""
2163,3,2,1,0,0,",me gusta ""typing like a retard to make the other person look dumber by pretending to agree with them"" bazinga"
2165,3,2,1,0,0,------RT ankle socks in general are for the faggots bro
2229,3,2,1,0,0,2 beer queer
2231,3,2,1,0,0,2 hoes 1 dyke
2262,3,2,1,0,0,5000 white men in pick up trucks screaming nigger and my coach got the nerve to get mad I missed the free throw 
2297,3,2,1,0,0,I bet he's a Starbucks queer
2348,3,2,1,0,0,faggot
2407,3,2,1,0,0,but I live in the South. Lot more here. My pop lives in Rhode Island. Hardly no niggers there.
2408,3,2,1,0,0,"So basically you like the background music, fag."
2438,3,2,1,0,0,this is retarded
2440,3,2,1,0,0,can't wait for more PEDS is that it? Roid munching faggot
2453,3,2,1,0,0,fight me 1 on 1 ur choice of game faggot see what happens
2472,3,2,1,0,0,guys not supposed to get their ass sucked queer
2486,3,2,0,1,0,"Welcome to the movement. Anyone who gets even minor publicity is a queer, fed, or jew (well, according to the internet)."
2493,3,2,1,0,0,ape? Fuck u broke ass racist
2499,3,2,1,0,0,I do not like talking to you faggot and I did but in a nicely way fag
2500,3,2,1,0,0,"answer my snapchat faggot 
#butthurt"
2516,3,2,1,0,0,do i literally eat asshole for a living? is that what i actually do faggot? You seem a little confused..
2521,3,2,1,0,0,"so ur faggot teammate hits someone late like that and U say he's yapping and yelling, u guys def 69 in the room"
2547,3,2,1,0,0,send them damn beaners back where they belong n the US aint it
2555,3,2,1,0,0,cracker jack shut the fuck up
2585,3,2,1,0,0,you'd like that wouldn't you fag
2587,3,2,1,0,0,He looks like a fag and his time line is boring Zzzzzz
2625,3,2,1,0,0,lmfao go to bed whitey 
2635,3,2,1,0,0,pass the Fosters faggot
2636,3,2,1,0,0,yea....what did it do for Maidana? It made him a greedy faggot loser. Atleast Broner is black...
2656,3,2,1,0,0,yea u stupid faggot. I'm not leaving till like 5-6pm. Want a ride?
2657,3,2,0,1,0,never followed him ignorant monkey
2670,3,2,1,0,0,your a nasty nigger whore
2680,3,2,1,0,0,wow!!! Are you comin back up here?  they some bitch niggas
2684,3,2,1,0,0,I'd like to rape the bitch that posted that.
2687,3,2,1,0,0,"Fuck you, faggot."
2691,3,2,1,0,0,These new nigga hipster hypebeasts love all these faggot ass bright colors and Nike keeps giving them what they want smh
2704,3,2,1,0,0,Joe Cortez is the ultimate faggot that fight proved it
2706,3,2,1,0,0,all us beaners were pissed like robert when the jew ref stopped it
2708,3,2,1,0,0,true sand niggers  bum Brits claim he's a ATG hall of fame legend smh
2720,3,2,0,1,0,racist tx trash racist why wld u intvw n ask racist questions itwas so disrespectful
2780,3,2,1,0,0,you styl gotta get dem tweets off my nig
2819,3,2,1,0,0,you need to accept the fact that you're both hipster faggots.
2822,3,2,1,0,0,"your gay stfu, dumb monkey"
2830,3,2,1,0,0,chase you God damn faggot 
2832,3,2,0,1,0,be gone my nigguh
2842,3,2,1,0,0,shut up chink.!!!
2852,3,2,1,0,0,"you call someone a faggot and then say to kill themselves, you are a pathetic human being. A fucking disgrace."
2868,3,2,0,1,0,"true! I miss yall man, yall are my brothers. Is mikey starting? And what about the chink? Lmfao"
2902,3,2,1,0,0,Because you're a fag
2912,3,2,1,0,0,wetback 
2958,3,2,1,0,0,you look like fucking shrek bitch
2962,3,2,1,0,0,get on cunt
2968,3,2,1,0,0,bitch shut the fuck up goddam your a slut bitch whore nigga
2969,3,2,1,0,0,jk I'd fuck a dog before I fuck you fish pussy
2976,3,2,1,0,0,because if you support lesbians you have to support faggots there's no difference.
2985,3,2,1,0,0,that hoe on some other shit bro rt and 100x better rn that a nigga high
3002,3,2,1,0,0,I'd hate feeling like a faggot too punk ass hoe
3003,3,2,1,0,0,how about you wash my butthole out with your tongue you little faggot
3007,3,2,1,0,0,"those little #ISIS faggots usually have bags over their heads anyway. 
Makes bullet placement interesting thru a scope."
3012,3,2,1,0,0,fags
3014,3,2,1,0,0,"purple  pink....for the faggots who want to be protected...by the police, instead of BEARING ARMS if need be!"
3018,3,2,1,0,0,shut up fag
3044,3,2,0,1,0,this like a retarded wu-tang clan
3048,3,2,1,0,0,beans u beaner?
3049,3,2,1,0,0,you wouldn't know fag
3054,3,2,1,0,0,"An enraged 6'4"" 290 lb Mike Brown lethal weapon on legs.His hatred 4 the police  whitey added fuel 2 his arsenal"
3073,3,2,1,0,0,I just learned how many retards you can find when you search trending topics.
3074,3,2,1,0,0,That's not bias. It's an objective fact that Philly fans are cunts.
3125,3,2,1,0,0,"sounds like a good idea. But I want my word to be spread. Jews, niggers and commies alike."
3134,3,2,1,0,0,you both sure do You want to give a free pass to every border jumper in this country you two are what's wrong here
3136,3,2,1,0,0,because she's a nigger
3139,3,2,1,0,0,you have a redneck attitude. The same people that think Benghazzi is real think Fox fake nws is real. Your one
3161,3,2,1,0,0,becuz no man should celebrate his bday at a drreams #faggot
3173,3,2,1,0,0,hoe don't make me put up screenshots of your texts to me hoe
3184,6,4,1,1,0,jus wanted to let yll know hope the hurricane kills your soca sunday trash #LORDWILLIN
3190,3,2,1,0,0,ew queer white thirsty bitch
3192,3,2,1,0,0,omg gtfo white faggot
3203,3,2,1,0,0,"yes now get off twitter, you lame negros should have never learned how to use the Internet"
3205,3,2,1,0,0,hahahaha youza fuck wigger
3210,3,2,1,0,0,"""leave you beaner retard"""
3241,3,2,1,0,0,heyyyyyyyyyyy fag boy am I gonna watch you play?
3242,3,2,1,0,0,"Says the old man :( I hope you can survive another 10 years, you silly Jigga boo monkey"
3271,3,2,1,0,0,hoe don't tweet me
3275,3,2,1,0,0,"Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots."
3278,3,2,1,0,0,"Go pray in a church or something fag, no one cares about your religious bullshit."
3280,3,2,0,1,0,"That band is white trash, and only white trash would buy that album."
3310,3,2,1,0,0,haha ight nig calm yoself
3315,3,2,1,0,0,fucking block your white ass because you try to start shit like a fucking queer so fuck you NIGGA
3316,3,2,1,0,0,ight nigga haha fucking queer has to clear his schedule
3318,3,2,1,0,0,roid rage much faggot?
3325,3,2,1,0,0,legit retard
3348,3,2,1,0,0,"they want what I got, I want what they got, America.they got the word nigger, I want it to"
3363,3,2,1,0,0,"Sion is a faggot. Very meh ganks pre-6 and post-6 his ganks are still pretty meh he's just a tank, nothing special imo Mao +"
3369,3,2,1,0,0,your low info redneck dumbasses vote for these corporate shills that idiots like you believe #dummies
