,label,message,clean,warning,hate_ratio,classOG
24781,0,!!! RT As a woman you shouldn't complain about cleaning up your house.  as a man you should always take the trash out...,,This message is clean of hate speech.,0.0,2
24780,1,!!!!! RT boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,,WARNING: This message may contain some hate speech about a woman.,0.0,1
24779,0,!!!!!!! RT Dawg!!!! RT You ever fuck a bitch and she start to cry? You be confused as shit,,This message is clean of hate speech.,0.0,1
24778,2,!!!!!!!!! RT she look like a tranny,"!!!!!!!!! RT she look like a ""pejorative term which is shortened from either transgendered"".",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
24777,0,!!!!!!!!!!!!! RT The shit you hear about me might be true or it might be faker than the bitch who told it to ya ,,This message is clean of hate speech.,0.0,1
24776,0,"!!!!!!!!!!!!!!!!!!""The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! """,,This message is clean of hate speech.,0.3333333333333333,1
24775,0,"!!!!!!""I can not just sit up and HATE on another bitch .. I got too much shit going on!""",,This message is clean of hate speech.,0.0,1
24774,1,!!!!cause I'm tired of you big bitches coming for us skinny girls!!,,WARNING: This message may contain some hate speech about a human female and a somali.,0.0,1
24773,0,"""  you might not get ya bitch back  thats that """,,This message is clean of hate speech.,0.0,1
24772,0,""" :hobbies include: fighting Mariam""

bitch",,This message is clean of hate speech.,0.3333333333333333,1
24771,0,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",,This message is clean of hate speech.,0.0,1
24770,0,""" Murda Gang bitch its Gang Land """,,This message is clean of hate speech.,0.0,1
24769,0,""" So hoes that smoke are losers ? "" yea ... go on IG",,This message is clean of hate speech.,0.0,1
24768,0,""" bad bitches is the only thing that i like """,,This message is clean of hate speech.,0.0,1
24767,0,""" bitch get up off me """,,This message is clean of hate speech.,0.3333333333333333,1
24766,1,""" bitch nigga miss me with it """,,WARNING: This message may contain some hate speech about a black person and a human female.,0.0,1
24765,0,""" bitch plz whatever """,,This message is clean of hate speech.,0.0,1
24764,0,""" bitch who do you love """,,This message is clean of hate speech.,0.3333333333333333,1
24763,0,""" bitches get cut off everyday B """,,This message is clean of hate speech.,0.0,1
24762,0,""" black bottle  a bad bitch """,,This message is clean of hate speech.,0.0,1
24761,0,""" broke bitch cant tell me nothing """,,This message is clean of hate speech.,0.0,1
24760,0,""" cancel that bitch like Nino """,,This message is clean of hate speech.,0.0,1
24759,0,""" cant you see these hoes wont change """,,This message is clean of hate speech.,0.0,1
